Idx,score
10005,0.0407876297832
10013,0.0836396515369
10020,0.282109439373
10033,0.288829118013
10035,0.0897583439946
10038,0.10802513361
1004,0.536732792854
10042,0.0768129900098
10043,0.0450743362308
10046,0.0264655705541
1005,0.0622643828392
10051,0.0693735256791
10053,0.0787342637777
10056,0.195643857121
10058,0.125738173723
10060,0.224617883563
10066,0.158520668745
10071,0.189862817526
10076,0.283839404583
1008,0.0725381672382
10083,0.0683648958802
10092,0.122170984745
10093,0.0091397492215
10094,0.0211841128767
10098,0.147901535034
10099,0.0156740080565
10103,0.0548323392868
1011,0.263865798712
10121,0.0524262115359
10126,0.509263396263
10127,0.0581759028137
10131,0.0615103021264
10136,0.0145388338715
10142,0.0228254366666
10143,0.0515095479786
10144,0.0820117145777
10150,0.0365034639835
10154,0.0682885050774
1016,0.020104624331
10161,0.0484131723642
10162,0.0661782547832
10168,0.0598711147904
10170,0.0339370071888
10177,0.0216825045645
10179,0.0319247767329
1018,0.218943029642
10180,0.0966515988111
10184,0.0346893444657
10186,0.0887958705425
1019,0.0658230707049
10191,0.0379675514996
10194,0.020067339763
10197,0.0273797865957
10199,0.0766167193651
10200,0.025733942166
10207,0.0707343891263
10219,0.0195492673665
10222,0.0436860397458
10224,0.0392320528626
10231,0.0836036279798
10237,0.0929300040007
10239,0.0471510477364
10242,0.0683320462704
10245,0.0802558735013
1025,0.206915408373
10250,0.187337368727
10260,0.0346904434264
10262,0.0284553915262
10265,0.0210179258138
10267,0.201688334346
10281,0.0277602784336
10282,0.126688092947
10285,0.0143943820149
10286,0.10702329874
10289,0.102318152785
10298,0.068954102695
10301,0.0556980855763
10309,0.0662673264742
1031,0.0688991248608
10317,0.0836382955313
10322,0.117134653032
10326,0.0119116101414
10333,0.0492007695138
10337,0.0518686771393
10339,0.106056034565
1034,0.0618575625122
10343,0.021073885262
10345,0.041730441153
1035,0.280807584524
10351,0.300188183784
10355,0.0378603190184
10357,0.0158193819225
1036,0.0641578435898
10364,0.0776312500238
10367,0.0984715670347
10381,0.0279326345772
10383,0.00978603772819
10385,0.0644089952111
10387,0.0313994921744
10396,0.00481077516451
10398,0.0738047510386
104,0.0325499549508
10404,0.252055168152
10408,0.120550349355
10420,0.0461261197925
1045,0.0282500125468
10451,0.0503560528159
10454,0.104961536825
10460,0.0234380997717
10467,0.0666783079505
10469,0.0910063832998
10470,0.436080396175
10475,0.0409715548158
10485,0.0692957341671
10487,0.104958377779
1049,0.111468240619
10495,0.0609837956727
10496,0.0709305554628
10500,0.054597903043
10503,0.144520685077
10505,0.0516626909375
10507,0.10519939661
10512,0.0168488137424
10517,0.0530739016831
10522,0.0432956181467
10524,0.147314250469
10528,0.186024621129
10529,0.0709688290954
10531,0.0564157553017
10540,0.00891681201756
10541,0.0200413521379
10545,0.107825294137
10548,0.0409188605845
1055,0.16201248765
10556,0.206168979406
10567,0.00565820420161
10580,0.060831874609
10590,0.0747811049223
10592,0.0348212458193
10597,0.134367391467
1060,0.267977595329
10600,0.0330401398242
10613,0.171947404742
10622,0.0338961929083
10624,0.269143015146
10638,0.0321970768273
10642,0.0626939088106
10644,0.0426304861903
10656,0.0174448601902
1066,0.0426754876971
10671,0.0763648971915
