feature,score
rUserInfo_18,13807
rThirdParty_Info_Period2_17,13743
rThirdParty_Info_Period2_5,13589
rThirdParty_Info_Period2_15,13458
rThirdParty_Info_Period2_13,13263
rThirdParty_Info_Period3_15,13148
rThirdParty_Info_Period1_13,13000
rThirdParty_Info_Period1_14,12906
rThirdParty_Info_Period4_15,12815
rThirdParty_Info_Period2_14,12782
rThirdParty_Info_Period2_3,12634
rThirdParty_Info_Period2_1,12489
rThirdParty_Info_Period1_17,12431
rThirdParty_Info_Period2_2,12388
rThirdParty_Info_Period3_17,12239
rThirdParty_Info_Period2_8,12202
rThirdParty_Info_Period3_5,12174
rThirdParty_Info_Period1_15,12137
rThirdParty_Info_Period4_5,12047
rThirdParty_Info_Period2_16,12035
rThirdParty_Info_Period5_15,12014
rThirdParty_Info_Period1_5,11993
rThirdParty_Info_Period3_14,11973
rThirdParty_Info_Period1_4,11885
rThirdParty_Info_Period3_13,11749
rThirdParty_Info_Period1_3,11689
rThirdParty_Info_Period2_4,11414
rThirdParty_Info_Period4_17,11344
rThirdParty_Info_Period5_17,11309
rThirdParty_Info_Period3_3,11298
rThirdParty_Info_Period4_13,11264
rThirdParty_Info_Period1_16,11174
rThirdParty_Info_Period1_8,10973
rThirdParty_Info_Period4_14,10923
rThirdParty_Info_Period1_2,10897
rThirdParty_Info_Period3_2,10868
rThirdParty_Info_Period3_8,10824
rThirdParty_Info_Period5_14,10794
rThirdParty_Info_Period3_1,10771
rThirdParty_Info_Period5_5,10693
rWeblogInfo_7,10653
rThirdParty_Info_Period4_3,10642
rThirdParty_Info_Period1_1,10609
rThirdParty_Info_Period5_13,10559
rThirdParty_Info_Period3_4,10372
rThirdParty_Info_Period1_7,10357
rThirdParty_Info_Period4_16,10353
rThirdParty_Info_Period2_7,10321
rThirdParty_Info_Period3_16,10270
rThirdParty_Info_Period4_1,9826
rThirdParty_Info_Period6_15,9768
rThirdParty_Info_Period4_4,9753
rThirdParty_Info_Period4_2,9739
rThirdParty_Info_Period4_8,9632
rThirdParty_Info_Period6_13,9558
rThirdParty_Info_Period2_6,9540
rThirdParty_Info_Period5_8,9537
rSocialNetwork_8,9319
rThirdParty_Info_Period5_3,9317
rThirdParty_Info_Period3_6,9254
rThirdParty_Info_Period5_16,9219
rThirdParty_Info_Period5_1,8933
rThirdParty_Info_Period6_14,8920
rThirdParty_Info_Period6_17,8914
rThirdParty_Info_Period5_4,8878
rThirdParty_Info_Period3_7,8826
rThirdParty_Info_Period1_6,8633
rThirdParty_Info_Period5_2,8600
rThirdParty_Info_Period4_7,8441
rSocialNetwork_9,8420
rThirdParty_Info_Period6_5,8373
rSocialNetwork_10,8331
rThirdParty_Info_Period6_3,8179
rThirdParty_Info_Period2_11,7944
rThirdParty_Info_Period4_6,7941
rThirdParty_Info_Period6_16,7931
rWeblogInfo_17,7797
rThirdParty_Info_Period5_6,7794
rThirdParty_Info_Period6_2,7602
rThirdParty_Info_Period5_7,7481
rThirdParty_Info_Period6_8,7399
rThirdParty_Info_Period6_1,7382
rThirdParty_Info_Period6_4,7196
rThirdParty_Info_Period4_11,6907
rThirdParty_Info_Period3_11,6877
rThirdParty_Info_Period6_7,6845
rWeblogInfo_16,6799
rThirdParty_Info_Period2_9,6435
rThirdParty_Info_Period1_11,6381
rThirdParty_Info_Period6_6,6315
rThirdParty_Info_Period1_9,6226
rWeblogInfo_4,6006
rWeblogInfo_18,5682
rWeblogInfo_15,5612
rThirdParty_Info_Period5_11,5590
rWeblogInfo_6,5525
rThirdParty_Info_Period3_9,5431
rThirdParty_Info_Period6_11,5299
rWeblogInfo_8,4730
rThirdParty_Info_Period4_9,4553
rWeblogInfo_5,4351
rThirdParty_Info_Period5_9,4315
rThirdParty_Info_Period6_9,3706
rThirdParty_Info_Period3_12,3369
rThirdParty_Info_Period2_12,3349
rWeblogInfo_14,3118
rThirdParty_Info_Period1_10,3109
rUserInfo_10,2961
rWeblogInfo_24,2915
rThirdParty_Info_Period5_12,2799
rThirdParty_Info_Period2_10,2776
rThirdParty_Info_Period4_12,2726
rThirdParty_Info_Period1_12,2709
rThirdParty_Info_Period6_12,2416
rThirdParty_Info_Period3_10,2171
rWeblogInfo_33,2107
rWeblogInfo_2,2072
rWeblogInfo_27,2009
rSocialNetwork_13,1772
rWeblogInfo_30,1744
rThirdParty_Info_Period5_10,1720
rWeblogInfo_36,1666
rThirdParty_Info_Period4_10,1640
rThirdParty_Info_Period6_10,1373
rWeblogInfo_39,1222
rSocialNetwork_17,976
rWeblogInfo_42,881
rSocialNetwork_14,716
rWeblogInfo_48,638
rWeblogInfo_25,581
rSocialNetwork_3,425
rWeblogInfo_9,412
rSocialNetwork_5,407
rWeblogInfo_45,388
rWeblogInfo_50,385
rWeblogInfo_34,382
rSocialNetwork_4,361
rWeblogInfo_29,328
rWeblogInfo_28,295
rThirdParty_Info_Period7_5,288
